Generation,WOC,WOB,WMMd,WMMr,W_average
0,0.6326799999999999,-0.9347500000000001,-0.8178,-1.19612,-0.7226720000000001
1,0.2169627917738275,-0.6560156348485485,-0.3380057716633724,-0.7731450776708493,-0.2709636971193571
2,0.007345882976494744,-0.5086604502315493,-0.053949318657297685,-0.5434616264791688,-0.1463793499790852
3,-0.04078959237478674,-0.4650288777008689,0.06478265892359025,-0.4843649145824951,-0.09097299261213379
4,-0.021540334849662224,-0.4650102047427961,0.11182071783566627,-0.4988614001884992,-0.034259823471675506
5,0.01824395391621003,-0.47996390139378997,0.12783851179250094,-0.5368398716142065,0.01967979769232929
6,0.056070387589155724,-0.49649362805424124,0.13065152560507554,-0.5739299243383231,0.061417644829215474
7,0.08376707567154362,-0.5093099587454439,0.1289688926095225,-0.6011761265172136,0.08872274989673591
8,0.10124339376101377,-0.5176462369149191,0.12664237229451314,-0.6182936734998846,0.10466007842111395
9,0.11129746122248063,-0.5225286398576291,0.12488456287805727,-0.6280672865944859,0.11333794869152693
10,0.11675744917033337,-0.5252086628840991,0.12380135773376977,-0.6333266808847673,0.11787992996691526
11,0.11961869085612764,-0.5266218473692016,0.12319957849569985,-0.6360552608010678,0.12020629481347087
12,0.12108578334114295,-0.5273488368896112,0.12288469048187833,-0.637439602746953,0.12138416128335246
13,0.12182828299872495,-0.5277172733719655,0.12272581625390311,-0.6381326476747822,0.12197700170208471
14,0.12220124822065581,-0.5279023676742325,0.12264744218803059,-0.6384769805489938,0.1222745552768269
15,0.12238783744223336,-0.5279949078162717,0.12260930882692578,-0.6386473863036276,0.1224237465676953
16,0.12248098803449858,-0.5280410546633767,0.12259091052533999,-0.638731558649299,0.12249852715600563
17,0.12252748830640758,-0.5280640588009071,0.1225820687171657,-0.6387731500655827,0.12253604603646863
18,0.12255069717189193,-0.528075523135813,0.1225778290549644,-0.6387937060791216,0.12255487453864611
19,0.12256229547685416,-0.5280812436239732,0.12257579423875598,-0.6388038840024182,0.12256433509566331
20,0.12256809327576557,-0.5280840985697808,0.12257481955027627,-0.6388089269951812,0.1225690918220604
21,0.12257099021163143,-0.528085523063577,0.12257435139272443,-0.6388114263606554,0.12257148052948669
22,0.12257244424324854,-0.5280862370256656,0.12257412557057945,-0.6388126714778964,0.12257268555267567
23,0.12257317303932047,-0.5280865944223186,0.12257401654811106,-0.638813291227785,0.12257329226985564
24,0.12257354380993934,-0.528086776050749,0.12257396282759636,-0.63881360474489,0.122573602095616
0,0.12257354380993934,-0.528086776050749,-1.5434260371724036,-0.63881360474489,-0.6002955673501922
1,-0.45834502770897323,-0.1870171703467165,-1.1121380691725686,-0.017406792561029727,-0.5952226838400025
