GF IH strength,MMd GF IH duration,WMMd IH duration,Holiday duration,MM fraction
0.08,3.0000942659182694,3.358075502895047,3.000000002166039,29.975186689672526
0.09,3.0000001730991173,3.2789627144731117,3.000000000834965,29.96233785775682
0.1,3.175471470971093,3.2089170112436225,3.0000000241365354,29.95446083766278
0.11,3.859071415161967,3.1394082720483887,3.0015193165209424,29.945601294515352
0.12,3.0304379893851072,2.91228440356421,3.000000000235076,29.98942299851124
0.13,3.1693477923350404,2.8305478582141532,3.0000017942457813,29.978794463881137
0.14,3.2968551390783043,2.6970526930557153,3.0000000021341577,29.970442017663018
0.15,3.424917156110088,2.5735074639713487,3.0015752183547173,29.96524279701542
0.16,3.599763953540964,2.4000636425771047,3.000004490023249,29.96316178559891
0.17,3.599351723558118,2.400615455850053,3.000004458214027,29.961565259818524
0.18,3.67059141567644,2.3277901733606283,3.0016183879197476,29.965475056396205
0.19,3.805347967598851,2.1946440979727484,3.0000000414744177,29.970976204087812
0.2,3.824812995792331,2.17515498225261,3.0000005702334205,29.981430274795276
0.21,3.9832071580718544,2.0167923986264586,3.0000000381784155,29.993837041829224
