W IH strength,MMd GF IH duration,WMMd IH duration,Holiday duration,MM fraction
0.2,5.474073563189366,2.0000000131695126,3.0000008843916657,29.515402545175174
0.21000000000000002,4.984630536493672,2.0000023128654663,3.0153372798815052,29.518300903727702
0.22,4.973535118203973,2.0000064066594123,3.0264107961442166,29.53906021720068
0.23,3.994722762666942,2.0000007933235504,3.0009619428627268,29.601575184654486
0.24000000000000002,3.994722762666942,2.0000007933235504,3.0009619428627268,29.60963016571047
0.25,3.9719237811533556,2.0000178301211395,3.0279484012566957,29.634431463647502
0.26,3.99401106291406,2.000008758216186,3.0059752133908364,29.6394383049908
0.27,3.989191386128475,2.0000044230575718,3.0106868850980373,29.661054143436036
0.28,3.9633812721821924,2.000007238623657,3.0365799512270213,29.69346208065923
0.29000000000000004,3.9961111715930393,2.000031365948278,3.0037352096236245,29.70923307991303
0.30000000000000004,3.9963386158360423,2.0000109521592098,3.003643133405924,29.739886427554552
0.31,3.9998697316970033,2.000023872142299,3.0000540378214895,29.773310420089864
0.32,3.9813336862180537,2.000006458741436,3.0185728453260863,29.81345632259135
0.33,3.9804436125252645,2.000006616889575,3.0194532506307117,29.853346293163135
0.34,3.9680535220242437,2.000002065817738,3.03164305742718,29.897059182093024
0.35,3.970519303701396,2.0000099837720624,3.0293732589654496,29.94222341425044
0.36,3.980005813654533,2.0000030414399075,3.0199605521971256,29.9906320216054
0.37,3.8915989684743817,2.031238243703781,3.0771627657093967,30.056382600394745
0.38,3.899760477095409,2.0000068633309906,3.1002105896820122,30.09144534249775
0.39,3.859626234820057,2.0000001725393926,3.1403709605262518,30.14379316899817
