Generation,nOC,nOB,nMMd,nMMr,total nMM
0.0,90.0,160.0,100.0,10.0,110.0
1.0344827586206897,185.64405965686046,147.92165834032141,126.9534708537452,11.116246888412089,138.06971774215728
2.0689655172413794,251.21688687115676,136.81302172744228,169.54883710270425,12.54256052026286,182.09139762296712
3.1034482758620694,311.1443482856541,126.55736073397654,225.61899237064844,14.014046692868646,239.6330390635171
4.137931034482759,372.2221397135326,117.08279128083255,295.6002065020536,15.44749874752728,311.0477052495809
5.172413793103448,435.8305180109002,108.32973401999239,380.4160952240401,16.806840978643674,397.22293620268374
6.206896551724139,501.5867390749038,100.24431934561483,480.89089352015225,18.07181026295067,498.96270378310294
7.241379310344828,568.5086727598851,92.77676627234466,597.5177301070536,19.22953591318832,616.7472660202419
8.275862068965518,635.4187774127515,85.88085600726201,730.3505327306509,20.27191345265278,750.6224461833037
9.310344827586208,701.1080957375606,79.51365889220325,878.9546940388504,21.19449646831818,900.1491905071687
10.344827586206897,764.4189798125097,73.63532307991095,1042.3957909599187,21.99580503955591,1064.3915959994747
11.379310344827587,824.2952861787176,68.2088810670756,1219.2581891022946,22.67677121955245,1241.934960321847
12.413793103448278,879.8151890003365,63.20006496315725,1407.688350755497,23.240255710261298,1430.9286064657583
13.448275862068966,930.2117658400067,58.57712879923254,1605.4580910430868,23.69062113931274,1629.1487121823995
14.482758620689657,974.8835454241035,54.310678830242196,1810.0424458880452,24.033360742018022,1834.0758066300632
15.517241379310345,1013.3967169885316,50.37351193547084,2018.7068263344675,24.274779645284116,2042.9816059797515
16.551724137931036,1045.4804114901835,46.74046255106051,2228.5982281661472,24.4217259214656,2253.019954087613
17.586206896551726,1071.0165798690796,43.38825829364235,2436.8356240516846,24.481367309081108,2461.3169913607658
18.620689655172416,1090.0258865158569,40.29538421105098,2640.595393420404,24.461008812258935,2665.056402232663
19.655172413793103,1102.6509409673604,37.441955492780636,2837.18845202802,24.367946221128037,2861.556398249148
20.689655172413794,1109.138038524872,34.809598375159865,3024.1266456984426,24.20935069027018,3048.335996388713
21.724137931034484,1109.8184042216783,32.38133894234978,3199.1768046778443,23.992179886456782,3223.168984564301
22.758620689655174,1105.0897252686536,30.14149945697487,3360.401723536604,23.72311154818105,3384.124835084785
23.793103448275865,1095.3986110055691,28.075601838296084,3506.1880237105734,23.408495702777753,3529.596519413351
24.827586206896555,1081.2244059174518,26.170277896772063,3635.2614705402084,23.054322306216367,3658.3157928464248
25.862068965517242,1063.0646742346212,24.413185933488,3746.690737119775,22.666201455309853,3769.3569385750848
26.896551724137932,1041.4225037517554,22.79293331021023,3839.8809610915255,22.24935376197966,3862.1303148535053
27.931034482758623,1016.7957010281059,21.299004718709128,3914.5586834907954,21.808608813769556,3936.367292304565
28.965517241379313,989.6678608845089,19.921695536148103,3970.7497508690867,21.348409909824973,3992.0981607789117
30.0,960.5012177915371,18.652050178523186,4008.7518866809746,20.872823694277834,4029.6247103752526
30.0,931.4640505353161,17.474048058850286,1832.0381645900525,20.406874936554523,1852.445039526607
31.0,632.8185681565425,16.472509723523824,1009.6166658115715,20.688107384691108,1030.3047731962627
32.0,454.9617747187021,15.575050018491474,583.4613970545456,21.18223587173452,604.6436329262801
33.0,338.5676658677174,14.774680245204404,355.76587127018735,21.932162557079323,377.69803382726667
34.0,260.8132274923321,14.060873224323037,228.2598460427156,22.947465860136212,251.2073119028518
35.0,207.66159911217122,13.423903407094064,153.7406563382035,24.24391271075778,177.98456904896128
36.0,170.61422864186636,12.854618352780845,108.42927910032112,25.840401626165377,134.2696807264865
37.0,144.38564600732713,12.344514112019725,79.86709367797278,27.758778142034327,107.6258718200071
38.0,125.617211173983,11.885773119755358,61.27565210557813,30.023248384700928,91.29890049027907
39.0,112.13005228282982,11.471290934270124,48.834147083880524,32.65969118822998,81.49383827211051
40.0,102.483436366464,11.094687180147156,40.31655145443617,35.69484273468472,76.01139418912089
41.0,95.70803598073799,10.750300865961032,34.38564006913012,39.155375604652434,73.54101567378255
42.0,91.14150059956,10.43317101321102,30.215202534263693,43.06690073998846,73.28210327425215
43.0,88.32501822478334,10.13900446550458,27.281566531861024,47.45293220627385,74.73449873813487
44.0,86.93692244877673,9.864133310913768,25.24515681017283,52.33386285057926,77.5790196607521
45.0,86.74920861775315,9.605464630100359,23.881324551502086,57.726003446253785,81.60732799775587
